Gene_Locus	OMIM Gene	Gene Effect	Variant(s)	Lethality Mode of Function	Coordinates (hg19)	Disease	OMIM Phenotype	Inheritance	System Affected	Prenatal Phenotypes	Fetal Sex	Human Evidence	PMID	1st trimester	2nd trimester	3rd trimester	Postnatal lethality
name: AAAS; id: 8086;	605378	Fetal	SNV		"{""id"":""chr12"",""data"":""53,701,244-53,715,394""}"	Achalasia-addisonianism-alacrimia syndrome, 231550 (3), Autosomal recessive	231550	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 1537368		x	x	x
name: AARS2; id: 57505;	612035	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""44,266,468-44,281,084""}"	Combined oxidative phosphorylation deficiency 8, 614096 (3), Autosomal recessive, Leukoencephalopathy, progressive, with ovarian failure, 615889 (3), Autosomal recessive	614096	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 21549344			x	x
name: ABAT; id: 18;	137150	Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""8,768,474-8,878,427""}"	GABA-transaminase deficiency, 613163 (3), Autosomal recessive	613163	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	27376954; 30993004				x
name: ABCA3; id: 21;	601615	Fetal	SNV	LoF	"{""id"":""chr16"",""data"":""2325881_2390747""}"	Surfactant metabolism dysfunction, pulmonary, 3.	610921	AR	CARDIOVASCULAR	Neonatal Death. 	M,F	Known	34645488				x
name: ABCB4; id: 5244;	171060	Maternal	SNV		"{""id"":""chr7"",""data"":""87,031,012-87,104,996""}"	Cholestasis, intrahepatic, of pregnancy	614972	AD,AR	METABOLIC	Spontaneous miscarriage	M,F	Known	30993004; 29480924		x	x	
name: ABCC6; id: 368;	603234	Maternal,Fetal	CNV,SNV	Undetermined	"{""id"":""chr16"",""data"":""16,149,565-16,223,494""}"	Pseudoxanthoma elasticum; Arterial calcification, generalized	614473; 264800; 177000	AD,AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Known	27623860; 15541079	x			
name: ABCC8 ; id: 6833;	600509	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""17,414,432-17,498,449""}"	Hyperinsulinemic hypoglycemia, familial, 1	256450	AR	METABOLIC	Large for gestational age . Prenatal and Neonatal demise.	M,F	Emerging	36658419				x
name: ABCC9; id: 10060;	601439	Fetal	CNV,SNV	LoF	"{""id"":""chr12"",""data"":""21950323_22095463""}"	cardiomyopathy	608569	AD	CARDIOVASCULAR	dilation of right ventricle and right auricle, moderate pericardial hemorrhagic effusion thymic hypoplasia. Prenatal and Neonatal demise.	M,F	Emerging	37209000				x
name: ABCF1; id: 23;	603429	Unknown	CNV,SNV	Undetermined	"{""id"":""chr6"",""data"":""30,571,442-30,591,522""}"					Spontaneous miscarriage	unknown	Candidate	37398382	x			
name: ACAD9; id: 28976;	611103	Fetal	SNV	Undetermined	"{""id"":""chr3"",""data"":""128598332_128634910""}"	Mitochondrial complex I deficiency	611126	AR	CARDIOVASCULAR	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564; 33574353; 36732629				x
name: ACADM; id: 34;	607008	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""75,724,709-75,763,679""}"	Acyl-CoA dehydrogenase, medium chain, deficiency of	201450	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	3944676; 15915086; 12403251				x
name: ACADVL; id: 37;	609575	Fetal	CNV,SNV	LoF	"{""id"":""chr17"",""data"":""7120443_7128592""}"	VLCAD deficiency	201475	AR		Prenatal and Neonatal demise.	M,F	Emerging	34406647				x
name: ACE; id: 1636;	106180	Maternal,Fetal	CNV,SNV	Undetermined	"{""id"":""chr17"",""data"":""61,554,422-61,575,734""}"	Renal tubular dysgenesis	267430	AR	RENAL	Prenatal and Neonatal demise.	M,F	Known	9856560; 18318764; 20134171				x
name: ACO2; id: 50;	100850	Fetal	SNV		"{""id"":""chr22"",""data"":""41,865,121-41,924,978""}"	Infantile cerebellar-retinal degeneration, 614559 (3), Autosomal recessive	614559	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 25351951; 32519519			x	x
name: ACTA1 ; id: 58;	102610	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""229,566,993-229,569,843""}"	Congenital myopathy, autosomal dominant or recessive	161800	AD,AR	NEUROLOGIC	Arthrogryposis multiplex congenita, Macrocephaly . Prenatal and Neonatal demise.	M,F	Known	36658419			x	x
name: ACTB; id: 60;	102630	Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""5566778_5603415""}"	Baraitser-Winter syndrome 1, 243310 (3), Autosomal dominant	243310	AD	NEUROLOGIC	triventriculomegaly, narrow aqueduct. Prenatal and Neonatal demise.	M,F	Emerging	29261186	x	x		
name: ACTG2; id: 72;	102545	Fetal	SNV		"{""id"":""chr2"",""data"":""74,120,135-74,146,992""}"	Visceral myopathy, 155310 (3), Autosomal dominant	155310	AD	NEUROMUSCULAR		M,F	Known	30993004; 9934973			x	x
